ID,Link,Left,Through,Right,laneID,length
11477,105485,1055071,1048971,0,1054851,632.020588650352
11478,105498,0,0,0,1054981,128.19171572157563
11479,104971,0,1049602,1050072,1049712,885.1340348301009
11480,104971,1054781,1049601,0,1049711,885.2129769795388
11481,105265,0,1052632,1052683,1052652,670.8223351638604
11482,105265,0,1052631,0,1052651,670.9096109687744
11483,105462,1054671,1054651,0,1054621,698.1341193675847
11484,105462,0,1054652,0,1054622,697.3985807653745
11485,104973,0,1049741,0,1049732,456.7526803410632
11486,104973,0,1049742,0,1049733,457.55032847973297
11487,104973,1049451,0,0,1049731,458.3479765277643
11488,104973,0,0,0,1049734,459.14562448510804
11489,104973,0,0,0,1049735,459.94327235181424
11490,104975,0,1049471,0,1049751,157.97377405365432
11491,104977,1049841,1049831,0,1049771,399.7421655749067
11492,104977,0,0,0,1049772,395.413291073128
11493,104983,1049801,1049911,0,1049831,292.1827019202367
11494,104984,0,1048341,0,1049842,426.80916974952527
11495,104984,0,0,0,1049841,427.2380321726271
11496,104984,0,0,0,1049843,427.6668948875375
11497,104978,0,1049891,0,1049781,351.1924252997725
11498,104981,0,1049911,1049821,1049811,176.49155068021457
11499,104986,0,1049931,1049921,1049861,247.68521550349334
11500,104980,0,1049781,1049861,1049801,179.3842206453822
11501,104982,0,1049841,0,1049821,286.396483149118
11502,104991,0,1049931,1049851,1049911,75.09666826904461
11503,104985,0,1049781,1049811,1049851,249.03028445161794
11504,104992,0,1049821,1049801,1049921,77.52790253531188
11505,104993,0,0,1050001,1049932,740.4441599791658
11506,104993,0,1048221,0,1049931,740.3245082280608
11507,104995,0,1050171,0,1049951,94.08277500517332
11508,104995,0,1050172,0,1049952,94.1014325997022
11509,104996,0,0,0,1049961,94.04545981663124
11510,105017,0,1050151,0,1050171,9.095058523291362
11511,105017,0,1050152,0,1050172,9.0950585410508
11512,104998,0,1047852,1050542,1049982,768.6730188676454
11513,104998,1047861,1047851,0,1049981,761.5525939623437
11514,104999,0,1048221,1049941,1049991,208.41978785528875
11515,105001,0,1050031,0,1050011,101.54947379618521
11516,105001,0,1050032,0,1050012,101.75239346218638
11517,105002,0,0,0,1050021,101.14363446896195
11518,105003,0,1050061,0,1050031,8.545836234538513
11519,105003,0,1050062,0,1050032,8.545836286713007
11520,105004,0,1050021,0,1050041,8.54583612879879
11521,105004,0,0,0,1050042,8.545836075233563
11522,105006,0,1050141,0,1050061,10.75547374561691
11523,105006,0,0,0,1050062,10.755473784294633
11524,105005,0,1050041,0,1050051,10.755473668960562
11525,105005,0,1050042,0,1050052,10.75547362958373
11526,105014,0,1050191,0,1050141,110.23020591164368
11527,105008,0,1054782,1049602,1050082,1973.8556400064938
