Id,nLane,tLinkID,FN,TN,linkID,freeflowsp,length,Left,Through,Right,Lane1,Lane2,Lane3,Lane4,Lane5,Lane6,Lane7,Lane8,Lane9,FREEFL1,FREEFL2,FREEFL3,FREEFL4,FREEFL5,FREEFL6,FREEFL7,FREEFL8,FREEFL9,FREEFL10,FREEFL11,FREEFL12,FREEFL13,FREEFL14,FREEFL15,FREEFL16,FREEFL17,FREEFL18,FREEFL19,FREEFL20,FREEFL21,FREEFL22,FREEFL23,FREEFL24,fid
100015,1.0,100016,1011,1012,100015,35,5.095695962216184,0,100009,0,1000151,0,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100015
100017,1.0,100018,929,924,100017,35,24.386802317196008,0,0,0,1000171,0,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100017
100018,1.0,100017,924,929,100018,35,24.386802317196008,0,0,0,1000181,0,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100018
100019,4.0,0,920,919,100019,35,10.020621806297594,100022,100024,0,1000191,1000192,1000193,1000194,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100019
109844,4.0,0,920,1231,109844,35,1571.3635507414065,0,109843,109842,1098441,1098442,1098443,1098444,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,109844
100022,4.0,0,919,908,100022,35,48.44649485213265,100023,100054,0,1000221,1000222,1000223,1000224,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100022
100024,3.0,0,919,909,100024,35,97.12219362574713,0,100028,100025,1000241,1000242,1000243,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100024
100020,4.0,0,911,920,100020,35,48.96356411645146,100019,109844,0,1000201,1000202,1000203,1000204,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100020
100023,4.0,0,908,911,100023,35,10.905073238650647,0,100020,0,1000231,1000232,1000233,1000234,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100023
100054,4.0,0,908,842,100054,35,700.7978863471533,100052,100055,0,1000541,1000542,1000543,1000544,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100054
100025,1.0,100026,909,1005,100025,35,531.2465634357377,0,100011,100013,1000251,0,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100025
100028,2.0,100027,909,901,100028,35,48.398610720539395,100031,100029,0,1000281,1000282,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100028
100027,1.0,100028,901,909,100027,35,48.398610720539395,0,100025,0,1000271,0,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100027
100029,2.0,100030,901,740,100029,35,1393.4101434451552,0,100004,0,1000291,1000292,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100029
100031,3.0,0,901,908,100031,35,92.54653617070124,0,100023,100054,1000311,1000312,1000313,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100031
100032,2.0,100033,980,979,100032,35,192.535955011684,0,0,0,1000321,1000322,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100032
