LinkID,LaneNum,RoadType,TLinkID,FnJunction,TnJunction,Left,Through,Right,Lane1,Lane2,Lane3,Lane4,Lane5,Lane6,Lane7,Lane8,Lane9,Length
104406,3.0,1.0,0,3872,3766,0,104418,0,1044061,1044062,1044063,0,0,0,0,0,0,239.55928246998798
104407,1.0,1.0,0,4034,3872,0,104406,0,1044071,0,0,0,0,0,0,0,0,147.51799924725393
104408,2.0,1.0,0,4034,3884,0,104419,0,1044081,1044082,0,0,0,0,0,0,0,149.44929757407886
104412,2.0,1.0,0,3652,3627,0,104392,104391,1044121,1044122,0,0,0,0,0,0,0,52.753914107772246
104413,2.0,9.0,0,3652,3632,104395,104396,0,1044131,1044132,0,0,0,0,0,0,0,23.051327463637826
104414,2.0,1.0,0,3806,3650,0,104661,104662,1044141,1044142,0,0,0,0,0,0,0,231.81132143734692
104415,2.0,1.0,0,3806,3678,0,104534,0,1044151,1044152,0,0,0,0,0,0,0,231.3641559221387
104416,3.0,1.0,0,3692,3624,104376,104377,0,1044161,1044162,1044163,0,0,0,0,0,0,79.44721445260133
104417,2.0,1.0,0,3692,3622,0,104638,104637,1044171,1044172,0,0,0,0,0,0,0,82.57765566933762
104418,2.0,1.0,104602,3766,3688,0,104601,0,1044181,1044182,0,0,0,0,0,0,0,204.75161092229098
104419,2.0,1.0,0,3884,3595,0,104603,0,1044191,1044192,0,0,0,0,0,0,0,476.02321208459006
104420,2.0,9.0,0,5304,5246,0,105204,0,1044201,1044202,0,0,0,0,0,0,0,199.68511590746135
104421,3.0,2.0,0,5304,5225,105206,105205,0,1044211,1044212,1044213,0,0,0,0,0,0,442.4306223776818
104422,2.0,9.0,0,4531,4609,0,104409,0,1044221,1044222,0,0,0,0,0,0,0,151.84693175166808
104423,3.0,1.0,104425,4531,4493,0,104426,0,1044231,1044232,1044233,0,0,0,0,0,0,43.62183400067347
104424,3.0,1.0,105208,4531,5188,0,105207,0,1044241,1044242,1044243,0,0,0,0,0,0,1565.6380276716454
104425,3.0,1.0,104423,4493,4531,104422,104424,0,1044251,1044252,1044253,0,0,0,0,0,0,43.62183400067347
104426,3.0,1.0,105211,4493,4496,105210,105209,0,1044261,1044262,1044263,0,0,0,0,0,0,312.6186477357669
104661,2.0,1.0,0,3650,3633,0,104652,104651,1046611,1046612,0,0,0,0,0,0,0,18.612503391063697
104662,3.0,1.0,0,3650,3649,104659,104660,0,1046621,1046622,1046623,0,0,0,0,0,0,68.7937519543554
104534,2.0,1.0,0,3678,3674,104581,104580,0,1045341,1045342,0,0,0,0,0,0,0,97.27160808014432
104637,2.0,1.0,0,3622,3575,104600,104599,0,1046371,1046372,0,0,0,0,0,0,0,163.69163800133973
104638,2.0,1.0,0,3622,3599,0,104588,0,1046381,1046382,0,0,0,0,0,0,0,18.655873548203566
104601,3.0,1.0,0,3688,3681,104697,104698,0,1046011,1046012,1046013,0,0,0,0,0,0,8.456965469379373
104602,2.0,1.0,104418,3688,3766,0,0,0,1046021,1046022,0,0,0,0,0,0,0,241.66617583466228
104603,3.0,1.0,0,3595,3565,0,104582,0,1046031,1046032,1046033,0,0,0,0,0,0,75.70786113877608
105204,3.0,1.0,0,5246,5236,105214,105215,0,1052041,1052042,1052043,0,0,0,0,0,0,6.260932010114176
105205,3.0,2.0,0,5225,5155,0,105216,0,1052051,1052052,1052053,0,0,0,0,0,0,146.54442965198578
105206,3.0,1.0,0,5225,5317,105218,105217,0,1052061,1052062,1052063,0,0,0,0,0,0,96.34888046382667
105207,3.0,1.0,105219,5188,5147,105220,105221,0,1052071,1052072,1052073,0,0,0,0,0,0,82.63142755416679
105208,3.0,1.0,104424,5188,4531,0,104423,104422,1052081,1052082,1052083,0,0,0,0,0,0,1565.6380276716452
105209,2.0,9.0,0,4496,4513,0,105222,0,1052091,1052092,0,0,0,0,0,0,0,71.6877312211007
105210,3.0,1.0,104562,4496,4533,0,104564,104563,1052101,1052102,1052103,0,0,0,0,0,0,53.49595259517477
105211,3.0,1.0,104426,4496,4493,0,104425,0,1052111,1052112,1052113,0,0,0,0,0,0,312.618647735767
104482,2.0,1.0,0,4841,4873,104485,104484,0,1044821,1044822,0,0,0,0,0,0,0,77.88824969125928
104483,2.0,1.0,104483,4841,4841,0,104482,0,1044831,1044832,0,0,0,0,0,0,0,1072.0581534316984
104484,2.0,1.0,0,4873,4965,104557,104558,104559,1044841,1044842,0,0,0,0,0,0,0,81.7947498769862
104485,4.0,1.0,104429,4873,4862,104427,104428,0,1044851,1044852,1044853,1044854,0,0,0,0,0,12.942687730411926
104486,3.0,1.0,104430,5199,5515,0,104431,104432,1044861,1044862,1044863,0,0,0,0,0,0,473.32949036702024
104487,2.0,1.0,104561,5199,5338,0,104560,0,1044871,1044872,0,0,0,0,0,0,0,365.3227819087673
104488,3.0,1.0,104564,5199,4533,104563,104562,0,1044881,1044882,1044883,0,0,0,0,0,0,1024.2259240223018
104489,4.0,1.0,104565,5603,5563,0,104566,104567,1044891,1044892,1044893,1044894,0,0,0,0,0,32.717570224319125
104490,2.0,1.0,104432,5603,5515,104430,104431,0,1044901,1044902,0,0,0,0,0,0,0,2819.1610099662144
104491,2.0,9.0,0,3924,4001,0,104497,0,1044911,1044912,0,0,0,0,0,0,0,143.58211328319402
104492,4.0,1.0,104570,3924,4107,0,104568,104569,1044921,1044922,1044923,1044924,0,0,0,0,0,344.8131351862216
104493,2.0,1.0,0,3837,3807,0,104496,104495,1044931,1044932,0,0,0,0,0,0,0,57.50559962848164
104494,4.0,1.0,104476,3837,3886,104477,104479,104478,1044941,1044942,1044943,1044944,0,0,0,0,0,37.394698080995596
104495,2.0,9.0,0,3807,3676,0,104571,0,1044951,1044952,0,0,0,0,0,0,0,224.57420894275037
104496,2.0,1.0,0,3807,3793,0,104390,0,1044961,1044962,0,0,0,0,0,0,0,39.97711901409443
104497,4.0,2.0,0,4001,3939,104572,104573,0,1044971,1044972,1044973,1044974,0,0,0,0,0,154.12936345004223
104699,2.0,1.0,0,36608,36622,104705,104704,0,1046991,1046992,0,0,0,0,0,0,0,70.89488600641366
104700,3.0,1.0,104707,36608,36611,0,104706,0,1047001,1047002,1047003,0,0,0,0,0,0,11.468031917074613
104701,2.0,1.0,0,36555,36544,104440,104441,0,1047011,1047012,0,0,0,0,0,0,0,36.82183292950034
104702,3.0,1.0,104439,36555,36552,0,104438,0,1047021,1047022,1047023,0,0,0,0,0,0,13.337847852849142
104703,2.0,2.0,0,36511,36509,104709,104708,0,1047031,1047032,0,0,0,0,0,0,0,9.614291399288822
104822,3.0,1.0,104448,4499,4511,0,104449,0,1048221,1048222,1048223,0,0,0,0,0,0,43.80251961836217
104823,2.0,1.0,0,4499,3910,0,104237,104236,1048231,1048232,0,0,0,0,0,0,0,632.3937118233499
104824,2.0,1.0,0,4914,4931,104827,104826,0,1048241,1048242,0,0,0,0,0,0,0,10.272734082257962
104825,2.0,1.0,0,4914,5038,0,104828,104829,1048251,1048252,0,0,0,0,0,0,0,575.1287500979545
