1000001,100000,1005181,1004791,0,1000001,6381.36232829
-1000001,100001,0,1012861,1000161,1000011,6381.34101344
1000011,100002,0,1015591,1015402,1000021,6177.67506725
1000012,100002,0,1015592,1015403,1000022,6178.16905199
1000021,100003,1007441,0,1007921,1000031,4358.07822875
-1000021,100004,1018941,0,1018621,1000041,4357.88898046
1000031,100005,1046151,1046081,0,1000051,8356.07253484
1000032,100005,0,1046082,0,1000052,8356.17012045
1000041,100006,1008501,1008271,0,1000061,8345.79442569
1000042,100006,0,1008272,0,1000062,8345.69941148
1000051,100007,0,0,1008792,1000071,17142.1082514
-1000051,100008,0,0,1047231,1000081,17140.8826713
1000061,100009,1009041,1009071,1000401,1000091,7366.70827452
-1000061,100010,1000381,0,1008551,1000101,7366.19114462
1000071,100011,0,0,0,1000111,8067.98767749
-1000071,100012,1052431,0,1000411,1000121,8066.79568362
1000081,100013,0,1012391,1012381,1000131,5279.71772653
-1000081,100014,1004691,1004671,0,1000141,5279.73661523
1000091,100015,1000001,0,1012861,1000151,5917.8740957
-1000091,100016,1005201,0,1005171,1000161,5917.41247619
1000101,100017,0,0,1012941,1000171,3859.29452617
-1000101,100018,1004801,1005221,0,1000181,3859.95946384
1000111,100019,0,1013021,0,1000191,6664.09349008
1000112,100019,0,1013022,0,1000192,6664.07342602
1000113,100019,0,1013023,1013041,1000193,6664.05336321
1000121,100020,1005281,1004771,0,1000201,6687.29087357
1000122,100020,0,1004772,0,1000202,6687.29722566
1000123,100020,0,0,1000901,1000203,6687.30357775
1000131,100021,0,0,1015381,1000211,3364.24680541
1000132,100021,0,0,1015382,1000212,3364.26339674
-1000131,100022,1007101,0,0,1000221,3364.21362275
-1000132,100022,0,0,1006571,1000222,3364.19703142
1000141,100023,0,1007121,0,1000231,6167.82927086
1000142,100023,0,1007122,1007071,1000232,6167.31764806
1000151,100024,1007411,1007141,0,1000241,1197.11706164
1000152,100024,0,1007142,0,1000242,1197.11941906
1000153,100024,0,0,0,1000243,1197.12177648
1000161,100025,1016091,1016071,0,1000251,1198.03402863
1000162,100025,0,1016072,0,1000252,1198.03743134
1000163,100025,0,1016073,0,1000253,1198.04083404
1000171,100026,1018251,1018181,1014751,1000261,2262.15265875
-1000171,100027,0,1007861,0,1000271,2262.17224295
1000181,100028,0,1007881,0,1000281,2592.57457461
1000182,100028,0,1007882,0,1000282,2592.55467662
1000191,100029,1018271,1018171,0,1000291,2565.07845335
1000192,100029,0,1018172,1018261,1000292,2565.07800478
1000201,100030,0,1007671,0,1000301,6577.36922392
1000202,100030,0,1007672,1007681,1000302,6577.40489054
1000211,100031,0,1018581,1018671,1000311,2258.29933655
-1000211,100032,0,1007621,1007431,1000321,2258.37994324
1000221,100033,0,1018711,0,1000331,6327.3112043
1000222,100033,0,1018712,0,1000332,6327.27783273
1000231,100034,1000351,1007931,0,1000341,4249.7353168
1000232,100034,1000352,0,0,1000342,4250.49816621
1000241,100035,0,1020641,0,1000351,4232.45134987
1000242,100035,0,1020642,1020571,1000352,4232.45154669
1000251,100036,0,0,1048341,1000361,10294.2483861
-1000251,100037,1008821,1008651,1008682,1000371,10294.7208543
1000261,100038,0,1048371,1048351,1000381,6937.57624104
-1000261,100039,1008551,0,1000091,1000391,6938.84195935
1000271,100040,1000111,1052431,0,1000401,2787.60531948
-1000271,100041,1000101,1009041,1009071,1000411,2787.59892798
1000281,100042,0,1007941,1008171,1000421,9055.92993465
-1000281,100043,0,0,0,1000431,9056.11802911
1000291,100044,0,1008161,1008121,1000441,8179.46508113
-1000291,100045,1000461,1002811,1002831,1000451,8179.52313015
1000301,100046,1008131,1008141,0,1000461,6954.04909102
-1000301,100047,1002811,1002831,1000441,1000471,6953.83523271
1000311,100048,1008191,0,1008021,1000481,20843.4660319
-1000311,100049,1000541,0,1004031,1000491,20844.5622429
1000321,100050,0,1008321,1000531,1000501,12826.8105358
-1000321,100051,1005871,0,1000871,1000511,12827.1720872
1000331,100052,1000511,0,1008321,1000521,9579.01309819
-1000331,100053,1000561,0,1006481,1000531,9579.69492719
1000341,100054,1008031,1008001,1008351,1000541,20511.5804578
-1000341,100055,0,1004031,1000481,1000551,20511.9532056
1000351,100056,0,1008481,1008461,1000561,14737.1280656
-1000351,100057,0,1006481,1000521,1000571,14737.3892115
1000361,100058,1000651,1000661,0,1000581,9476.0035262
-1000361,100059,1002841,1001821,0,1000591,9475.96229765
1000371,100060,1002061,0,1000731,1000601,3522.64774095
-1000371,100061,0,0,0,1000611,3522.56642145
1000381,100062,0,1002241,0,1000621,1147.04229269
-1000381,100063,0,0,0,1000631,1147.00552221
1000391,100064,1000661,0,1000591,1000641,141.136834285
-1000391,100065,0,0,1000671,1000651,138.463488479
1000401,100066,1000641,0,0,1000661,104.182698968
-1000401,100067,0,1000591,1000651,1000671,104.182698968
1000411,100068,1002041,1001871,0,1000681,4159.306396
-1000411,100069,1001051,1001151,0,1000691,4158.66960922
1000421,100070,1001751,1001641,1001722,1000701,10349.940681
-1000421,100071,1004261,0,1004411,1000711,10349.3298561
1000431,100072,1000611,1002061,0,1000721,3233.63059932
-1000431,100073,0,1001091,1001111,1000731,3234.89626814
1000441,100074,0,1004201,1004231,1000741,5251.42155298
-1000441,100075,1001411,1001391,0,1000751,5250.99558091
1000451,100076,1004221,1004331,0,1000761,7373.60601514
-1000451,100077,0,1001501,1001401,1000771,7372.00917339
1000461,100078,0,1005551,0,1000781,11213.1525986
1000462,100078,0,1005552,1005561,1000782,11213.1525858
1000471,100079,1001781,1001761,0,1000791,11305.4386993
