LinkID,LaneNum,TLinkID,FnJunction,TnJunction,SpeedLimit,Left,Through,Right,Lane1,Lane2,Lane3,Lane4,Lane5,Lane6,Lane7,Lane8,Lane9
100052,2,0,328,323,35,0,100044,100050,1000521,1000522,0,0,0,0,0,0,0
100054,3,0,328,317,35,0,100056,100057,1000541,1000542,1000543,0,0,0,0,0,0
100059,2,100058,328,507,35,0,100001,100006,1000591,1000592,0,0,0,0,0,0,0
100056,2,0,317,316,35,100061,100064,0,1000561,1000562,0,0,0,0,0,0,0
100057,2,0,317,507,35,100001,100006,100058,1000571,1000572,0,0,0,0,0,0,0
100061,2,0,316,310,35,100060,100074,0,1000611,1000612,0,0,0,0,0,0,0
100064,4,0,316,138,35,0,100066,0,1000641,1000642,1000643,1000644,0,0,0,0,0
100060,2,0,310,314,35,100055,100051,0,1000601,1000602,0,0,0,0,0,0,0
100074,2,0,310,230,35,100071,100073,0,1000741,1000742,0,0,0,0,0,0,0
100063,4,0,139,310,35,0,100060,100074,1000631,1000632,1000633,1000634,0,0,0,0,0
100065,2,100066,139,138,35,0,0,0,1000651,1000652,0,0,0,0,0,0,0
100067,1,100068,139,158,35,0,100070,0,1000671,0,0,0,0,0,0,0,0
100066,2,100065,138,139,35,100063,100067,0,1000661,1000662,0,0,0,0,0,0,0
100068,2,100067,158,139,35,0,100065,100063,1000681,1000682,0,0,0,0,0,0,0
100070,1,100069,158,156,35,0,100076,0,1000701,0,0,0,0,0,0,0,0
100069,1,100070,156,158,35,0,100068,0,1000691,0,0,0,0,0,0,0,0
100076,1,100075,156,122,35,0,100077,100080,1000761,0,0,0,0,0,0,0,0
100071,2,0,230,314,35,100055,100051,0,1000711,1000712,0,0,0,0,0,0,0
100073,2,100072,230,321,35,0,100045,0,1000731,1000732,0,0,0,0,0,0,0
100075,1,100076,122,156,35,0,100069,0,1000751,0,0,0,0,0,0,0,0
100077,1,100078,122,120,35,0,0,0,1000771,0,0,0,0,0,0,0,0
100080,2,0,122,99,35,0,100082,0,1000801,1000802,0,0,0,0,0,0,0
100078,2,100077,120,122,35,100080,100075,0,1000781,1000782,0,0,0,0,0,0,0
