LaneID,LinkID,Left,Through,Right,Length(m)
1075242,107524,0,1082282,0,280.9110483
1075272,107527,0,1075522,1075304,310.3105961
1075271,107527,0,1075521,0,310.3149592
1075893,107589,0,0,1075863,660.9060722
1075892,107589,0,1075881,0,660.9096094
1075891,107589,0,0,0,660.9131466
1075281,107528,0,1075241,1075893,310.3018699
1075304,107530,0,0,1075321,246.1278492
1075302,107530,0,1075331,0,246.1278488
1075303,107530,0,1075332,0,246.1278484
1075301,107530,1075461,0,0,246.1278479
1075521,107552,0,1075551,0,529.1690397
1075522,107552,0,1075552,0,529.13802
1075294,107529,0,0,1075281,660.995909
