ub,lb
17429.427642279,15307.1150082326
17334.0261410468,16791.0898773301
17334.0261410468,17005.8564281235
17275.0550645483,17058.2464756377
17275.0550645483,17140.8805590574
17275.0550645483,17181.5999457868
17275.0550645483,17194.5071193428
17275.0550645483,17197.1982424675
17214.1586881585,17205.807775641
