ub,lb
11273.644632044,9762.33203766916
11273.644632044,11101.4417783324
11273.644632044,11198.2133508374
11273.644632044,11223.7029867968
11273.644632044,11226.8147047863
11273.644632044,11228.8196507956
11273.644632044,11231.9313687851
11273.644632044,11257.4210047445
11273.644632044,11270.8885783444
